Model,Period,Window,R2_H1,R2_H10,R2_Decay%
Mamba,2010_Euro_Debt_Crisis,30,0.9669,0.7995,17.32
Mamba,2010_Euro_Debt_Crisis,60,0.9668,0.8187,15.32
Mamba,2010_Euro_Debt_Crisis,90,0.9686,0.8015,17.25
Mamba,2010_Euro_Debt_Crisis,120,0.9669,0.8185,15.35
Mamba,2010_Euro_Debt_Crisis,252,0.9315,0.7891,15.29
Mamba,2015_China_Crash,30,0.907,-0.0316,103.48
Mamba,2015_China_Crash,60,0.8973,0.0581,93.53
Mamba,2015_China_Crash,90,0.9033,0.2215,75.48
Mamba,2015_China_Crash,120,0.9002,0.0627,93.04
Mamba,2015_China_Crash,252,0.8907,0.093,89.56
Mamba,2018_Trade_War,30,0.891,0.2536,71.54
Mamba,2018_Trade_War,60,0.8982,0.0377,95.8
Mamba,2018_Trade_War,90,0.8976,0.1353,84.92
Mamba,2018_Trade_War,120,0.8,0.1318,83.53
Mamba,2018_Trade_War,252,0.885,0.1764,80.07
Mamba,2020_COVID_Crash,30,0.6417,-0.4838,175.39
Mamba,2020_COVID_Crash,60,0.6239,-1.8002,388.53
Mamba,2020_COVID_Crash,90,0.7022,-0.1952,127.8
Mamba,2020_COVID_Crash,120,0.7128,-0.1918,126.9
Mamba,2020_COVID_Crash,252,0.7345,-0.9939,235.31
Mamba,2022_Rate_Hike,30,0.912,0.3556,61.01
Mamba,2022_Rate_Hike,60,0.8595,0.5374,37.47
Mamba,2022_Rate_Hike,90,0.9289,0.5517,40.61
Mamba,2022_Rate_Hike,120,0.9186,0.5756,37.34
Mamba,2022_Rate_Hike,252,0.9017,0.4543,49.62
Mamba,2023_AI_Wave,30,0.9302,0.6374,31.48
Mamba,2023_AI_Wave,60,0.9522,0.582,38.88
Mamba,2023_AI_Wave,90,0.9688,0.6689,30.96
Mamba,2023_AI_Wave,120,0.9585,0.7086,26.07
Mamba,2023_AI_Wave,252,0.9707,0.6798,29.96
PatchTST,2008_Financial_Crisis,30,0.2177,-0.4109,288.72
PatchTST,2008_Financial_Crisis,60,0.0846,0.634,-649.32
PatchTST,2008_Financial_Crisis,90,-0.2849,0.4328,
PatchTST,2008_Financial_Crisis,120,0.4038,0.5968,-47.8
PatchTST,2008_Financial_Crisis,252,0.4589,-0.1663,136.23
PatchTST,2010_Euro_Debt_Crisis,30,-0.0361,-0.606,
PatchTST,2010_Euro_Debt_Crisis,60,-0.9066,-0.568,
PatchTST,2010_Euro_Debt_Crisis,90,0.0957,0.3807,-297.6
PatchTST,2010_Euro_Debt_Crisis,120,0.6163,-1.9761,420.65
PatchTST,2010_Euro_Debt_Crisis,252,-2.3158,-1.7327,
PatchTST,2015_China_Crash,30,-3.4323,-0.2522,
PatchTST,2015_China_Crash,60,-0.0637,-0.368,
PatchTST,2015_China_Crash,90,0.3962,-0.6847,272.8
PatchTST,2015_China_Crash,120,-2.9486,-2.3465,
PatchTST,2015_China_Crash,252,-0.1279,-0.3043,
PatchTST,2018_Trade_War,30,-0.9635,-1.6935,
PatchTST,2018_Trade_War,60,-0.3346,-0.7302,
PatchTST,2018_Trade_War,90,-1.0823,-0.1516,
PatchTST,2018_Trade_War,120,0.1538,-0.6538,525.2
PatchTST,2018_Trade_War,252,0.0093,-1.9939,21472.34
PatchTST,2020_COVID_Crash,30,-0.3534,-0.8587,
PatchTST,2020_COVID_Crash,60,-0.4247,-1.081,
PatchTST,2020_COVID_Crash,90,-0.0666,-0.7581,
PatchTST,2020_COVID_Crash,120,-0.1833,-1.2445,
PatchTST,2020_COVID_Crash,252,-0.2995,-1.3794,
PatchTST,2022_Rate_Hike,30,-0.1156,-0.6317,
PatchTST,2022_Rate_Hike,60,-0.4143,-1.8588,
PatchTST,2022_Rate_Hike,90,-1.6032,-1.9504,
PatchTST,2022_Rate_Hike,120,-1.7579,-3.1158,
PatchTST,2022_Rate_Hike,252,-2.2232,-6.5108,
PatchTST,2023_AI_Wave,30,0.7947,0.2113,73.4
PatchTST,2023_AI_Wave,60,-0.6092,0.6054,
PatchTST,2023_AI_Wave,90,0.6536,0.4801,26.56
PatchTST,2023_AI_Wave,120,0.766,0.5571,27.27
PatchTST,2023_AI_Wave,252,0.2837,-0.1026,136.17
SNN,2008_Financial_Crisis,30,0.3882,0.8345,-114.95
SNN,2008_Financial_Crisis,60,0.8543,0.1063,87.55
SNN,2008_Financial_Crisis,90,-0.835,0.2021,
