Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples,Seed
SP500,252,10,ARIMA,2008_Financial_Crisis,0.0083789896287179,0.9403684961819884,0.0115222194778621,378,2620
SP500,252,10,Bi-RNN,2008_Financial_Crisis,0.0429541543126106,-0.6174052953720093,0.0593124656385718,369,2620
SP500,252,10,Bi-GRU,2008_Financial_Crisis,0.0105636194348335,0.8999706506729126,0.0147502801057379,369,2620
SP500,252,10,Bi-LSTM,2008_Financial_Crisis,0.008838121779263,0.9385155439376832,0.0115642980165473,369,2620
SP500,252,10,PatchTST,2008_Financial_Crisis,0.038366787135601,-0.166262149810791,0.0503656732157905,369,2620
SP500,252,10,Mamba,2008_Financial_Crisis,0.0098443422466516,0.9213335514068604,0.0130807126213379,369,2620
SP500,252,10,SNN,2008_Financial_Crisis,0.0177124738693237,0.7288154363632202,0.0242867272388748,369,2620
SP500,252,10,Ensemble,2008_Financial_Crisis,0.0178818106651306,0.7259016036987305,0.0244168589897719,369,2620
SP500,30,1,ARIMA,2010_Euro_Debt_Crisis,0.0021033869878275,0.9735984066256848,0.0028876570159552,568,2620
SP500,30,1,Bi-RNN,2010_Euro_Debt_Crisis,0.0021399545948952,0.9724393486976624,0.0029503628597923,568,2620
SP500,30,1,Bi-GRU,2010_Euro_Debt_Crisis,0.0023383302614092,0.9702335596084596,0.0030661528056543,568,2620
SP500,30,1,Bi-LSTM,2010_Euro_Debt_Crisis,0.0030906880274415,0.954490840435028,0.0037912279821641,568,2620
SP500,30,1,PatchTST,2010_Euro_Debt_Crisis,0.0149882547557353,-0.036062479019165,0.0180893732694261,568,2620
SP500,30,1,Mamba,2010_Euro_Debt_Crisis,0.0023792416322976,0.9669384956359864,0.003231409147337,568,2620
SP500,30,1,SNN,2010_Euro_Debt_Crisis,0.0037612251471728,0.9202415347099304,0.0050190205829722,568,2620
SP500,30,1,Ensemble,2010_Euro_Debt_Crisis,0.0036821465473622,0.9331939816474916,0.0045934432042177,568,2620
SP500,30,5,ARIMA,2010_Euro_Debt_Crisis,0.0045615381066183,0.8821945336641789,0.0060997672048733,568,2620
SP500,30,5,Bi-RNN,2010_Euro_Debt_Crisis,0.0051280171610414,0.871826708316803,0.0063761660619023,564,2620
SP500,30,5,Bi-GRU,2010_Euro_Debt_Crisis,0.0044094920158386,0.8963264226913452,0.0057344918000805,564,2620
SP500,30,5,Bi-LSTM,2010_Euro_Debt_Crisis,0.0043039703741669,0.897474467754364,0.0057026528106238,564,2620
SP500,30,5,PatchTST,2010_Euro_Debt_Crisis,0.0254741590470075,-1.6193721294403076,0.0288243462846914,564,2620
SP500,30,5,Mamba,2010_Euro_Debt_Crisis,0.004888201598078,0.8699058890342712,0.0064237661403284,564,2620
SP500,30,5,SNN,2010_Euro_Debt_Crisis,0.0050390157848596,0.8594568371772766,0.0066767599113642,564,2620
SP500,30,5,Ensemble,2010_Euro_Debt_Crisis,0.0061519662849605,0.8278738856315613,0.0073889762880528,564,2620
SP500,30,10,ARIMA,2010_Euro_Debt_Crisis,0.0059326983907878,0.8169250739300172,0.00760405015931,568,2620
SP500,30,10,Bi-RNN,2010_Euro_Debt_Crisis,0.0057896529324352,0.8262733221054077,0.0074479585382474,559,2620
SP500,30,10,Bi-GRU,2010_Euro_Debt_Crisis,0.0055227610282599,0.8322052359580994,0.0073196978325283,559,2620
SP500,30,10,Bi-LSTM,2010_Euro_Debt_Crisis,0.0072030746378004,0.7474609613418579,0.0089798326094591,559,2620
SP500,30,10,PatchTST,2010_Euro_Debt_Crisis,0.0196709018200635,-0.6059750318527222,0.0226450544578664,559,2620
SP500,30,10,Mamba,2010_Euro_Debt_Crisis,0.0060425288975238,0.7994612455368042,0.0080020847348723,559,2620
SP500,30,10,SNN,2010_Euro_Debt_Crisis,0.0067515689879655,0.7523353695869446,0.0088927478597351,559,2620
SP500,30,10,Ensemble,2010_Euro_Debt_Crisis,0.0066420650109648,0.794369101524353,0.0081030433218736,559,2620
SP500,60,1,ARIMA,2010_Euro_Debt_Crisis,0.002045924465744,0.974281165803236,0.0028500742776983,568,2620
SP500,60,1,Bi-RNN,2010_Euro_Debt_Crisis,0.0034865646157413,0.9418413639068604,0.0042858577907517,568,2620
SP500,60,1,Bi-GRU,2010_Euro_Debt_Crisis,0.0024567001964896,0.9673471450805664,0.0032113771550283,568,2620
SP500,60,1,Bi-LSTM,2010_Euro_Debt_Crisis,0.0020707175135612,0.974174439907074,0.0028559802437866,568,2620
SP500,60,1,PatchTST,2010_Euro_Debt_Crisis,0.0217196512967348,-0.9065979719161988,0.024539184617753,568,2620
SP500,60,1,Mamba,2010_Euro_Debt_Crisis,0.002445894293487,0.9667532444000244,0.0032404492053832,568,2620
