Model,Period,Window,Horizon,Model_R2,ARIMA_R2,Delta_R2,Beats_ARIMA
PatchTST,2022_Rate_Hike,90,10,0.5565,0.6535,-0.0971,No
Mamba,2022_Rate_Hike,90,10,0.6909,0.6535,0.0374,Yes
SNN,2022_Rate_Hike,90,10,0.3632,0.6535,-0.2903,No
Bi-RNN,2022_Rate_Hike,120,1,0.8952,0.9609,-0.0657,No
Bi-GRU,2022_Rate_Hike,120,1,0.8266,0.9609,-0.1343,No
Bi-LSTM,2022_Rate_Hike,120,1,0.6691,0.9609,-0.2919,No
PatchTST,2022_Rate_Hike,120,1,-1.7579,0.9609,-2.7188,No
Mamba,2022_Rate_Hike,120,1,0.9186,0.9609,-0.0423,No
SNN,2022_Rate_Hike,120,1,0.2635,0.9609,-0.6974,No
Bi-RNN,2022_Rate_Hike,120,1,0.9689,0.9609,0.008,Yes
Bi-GRU,2022_Rate_Hike,120,1,0.9684,0.9609,0.0075,Yes
Bi-LSTM,2022_Rate_Hike,120,1,0.9674,0.9609,0.0065,Yes
PatchTST,2022_Rate_Hike,120,1,0.8183,0.9609,-0.1426,No
Mamba,2022_Rate_Hike,120,1,0.9673,0.9609,0.0064,Yes
SNN,2022_Rate_Hike,120,1,0.6872,0.9609,-0.2737,No
Bi-RNN,2022_Rate_Hike,120,5,0.7627,0.8219,-0.0592,No
Bi-GRU,2022_Rate_Hike,120,5,0.5053,0.8219,-0.3166,No
Bi-LSTM,2022_Rate_Hike,120,5,0.6927,0.8219,-0.1292,No
PatchTST,2022_Rate_Hike,120,5,-1.7877,0.8219,-2.6097,No
Mamba,2022_Rate_Hike,120,5,0.769,0.8219,-0.0529,No
SNN,2022_Rate_Hike,120,5,0.6464,0.8219,-0.1755,No
Bi-RNN,2022_Rate_Hike,120,5,0.8567,0.8219,0.0348,Yes
Bi-GRU,2022_Rate_Hike,120,5,0.8475,0.8219,0.0256,Yes
Bi-LSTM,2022_Rate_Hike,120,5,0.846,0.8219,0.0241,Yes
PatchTST,2022_Rate_Hike,120,5,0.8091,0.8219,-0.0128,No
Mamba,2022_Rate_Hike,120,5,0.8578,0.8219,0.0359,Yes
SNN,2022_Rate_Hike,120,5,0.6339,0.8219,-0.188,No
Bi-RNN,2022_Rate_Hike,120,10,0.2455,0.6566,-0.4111,No
Bi-GRU,2022_Rate_Hike,120,10,0.1209,0.6566,-0.5357,No
Bi-LSTM,2022_Rate_Hike,120,10,-0.391,0.6566,-1.0475,No
PatchTST,2022_Rate_Hike,120,10,-3.1158,0.6566,-3.7724,No
Mamba,2022_Rate_Hike,120,10,0.5756,0.6566,-0.081,No
SNN,2022_Rate_Hike,120,10,0.169,0.6566,-0.4876,No
Bi-RNN,2022_Rate_Hike,120,10,0.701,0.6566,0.0444,Yes
Bi-GRU,2022_Rate_Hike,120,10,0.6973,0.6566,0.0407,Yes
Bi-LSTM,2022_Rate_Hike,120,10,0.6704,0.6566,0.0138,Yes
PatchTST,2022_Rate_Hike,120,10,0.5817,0.6566,-0.0749,No
Mamba,2022_Rate_Hike,120,10,0.6963,0.6566,0.0398,Yes
SNN,2022_Rate_Hike,120,10,0.5421,0.6566,-0.1145,No
Bi-RNN,2022_Rate_Hike,252,1,0.9098,0.962,-0.0522,No
Bi-GRU,2022_Rate_Hike,252,1,0.8881,0.962,-0.074,No
Bi-LSTM,2022_Rate_Hike,252,1,0.7264,0.962,-0.2357,No
PatchTST,2022_Rate_Hike,252,1,-2.2232,0.962,-3.1852,No
Mamba,2022_Rate_Hike,252,1,0.9017,0.962,-0.0603,No
SNN,2022_Rate_Hike,252,1,-0.1892,0.962,-1.1512,No
Bi-RNN,2022_Rate_Hike,252,1,0.9669,0.962,0.0048,Yes
Bi-GRU,2022_Rate_Hike,252,1,0.9689,0.962,0.0069,Yes
Bi-LSTM,2022_Rate_Hike,252,1,0.9681,0.962,0.0061,Yes
PatchTST,2022_Rate_Hike,252,1,0.7355,0.962,-0.2265,No
Mamba,2022_Rate_Hike,252,1,0.9696,0.962,0.0075,Yes
SNN,2022_Rate_Hike,252,1,0.6533,0.962,-0.3088,No
Bi-RNN,2022_Rate_Hike,252,5,-0.1865,0.8245,-1.0109,No
Bi-GRU,2022_Rate_Hike,252,5,0.5812,0.8245,-0.2433,No
Bi-LSTM,2022_Rate_Hike,252,5,0.581,0.8245,-0.2434,No
PatchTST,2022_Rate_Hike,252,5,-2.399,0.8245,-3.2235,No
Mamba,2022_Rate_Hike,252,5,0.7447,0.8245,-0.0798,No
SNN,2022_Rate_Hike,252,5,0.1961,0.8245,-0.6284,No
Bi-RNN,2022_Rate_Hike,252,5,0.859,0.8245,0.0345,Yes
Bi-GRU,2022_Rate_Hike,252,5,0.8588,0.8245,0.0343,Yes
Bi-LSTM,2022_Rate_Hike,252,5,0.8588,0.8245,0.0343,Yes
PatchTST,2022_Rate_Hike,252,5,0.6633,0.8245,-0.1612,No
Mamba,2022_Rate_Hike,252,5,0.8507,0.8245,0.0262,Yes
SNN,2022_Rate_Hike,252,5,0.6253,0.8245,-0.1992,No
Bi-RNN,2022_Rate_Hike,252,10,0.6222,0.6643,-0.042,No
Bi-GRU,2022_Rate_Hike,252,10,-0.1094,0.6643,-0.7737,No
Bi-LSTM,2022_Rate_Hike,252,10,0.5265,0.6643,-0.1377,No
PatchTST,2022_Rate_Hike,252,10,-6.5108,0.6643,-7.1751,No
Mamba,2022_Rate_Hike,252,10,0.4543,0.6643,-0.2099,No
SNN,2022_Rate_Hike,252,10,-0.1464,0.6643,-0.8107,No
Bi-RNN,2022_Rate_Hike,252,10,0.7038,0.6643,0.0395,Yes
Bi-GRU,2022_Rate_Hike,252,10,0.6969,0.6643,0.0327,Yes
Bi-LSTM,2022_Rate_Hike,252,10,0.6725,0.6643,0.0082,Yes
PatchTST,2022_Rate_Hike,252,10,0.5158,0.6643,-0.1485,No
Mamba,2022_Rate_Hike,252,10,0.7277,0.6643,0.0634,Yes
SNN,2022_Rate_Hike,252,10,0.6068,0.6643,-0.0575,No
Bi-RNN,2023_AI_Wave,30,1,0.8793,0.9677,-0.0884,No
Bi-GRU,2023_AI_Wave,30,1,0.9522,0.9677,-0.0156,No
Bi-LSTM,2023_AI_Wave,30,1,0.891,0.9677,-0.0767,No
PatchTST,2023_AI_Wave,30,1,0.7947,0.9677,-0.1731,No
Mamba,2023_AI_Wave,30,1,0.9302,0.9677,-0.0375,No
SNN,2023_AI_Wave,30,1,-0.6056,0.9677,-1.5733,No
Bi-RNN,2023_AI_Wave,30,1,0.9664,0.9677,-0.0013,No
Bi-GRU,2023_AI_Wave,30,1,0.967,0.9677,-0.0008,No
Bi-LSTM,2023_AI_Wave,30,1,0.9661,0.9677,-0.0016,No
PatchTST,2023_AI_Wave,30,1,0.8331,0.9677,-0.1346,No
Mamba,2023_AI_Wave,30,1,0.9643,0.9677,-0.0034,No
SNN,2023_AI_Wave,30,1,0.8723,0.9677,-0.0954,No
Bi-RNN,2023_AI_Wave,30,5,0.7954,0.8565,-0.061,No
Bi-GRU,2023_AI_Wave,30,5,0.84,0.8565,-0.0164,No
Bi-LSTM,2023_AI_Wave,30,5,0.7749,0.8565,-0.0816,No
PatchTST,2023_AI_Wave,30,5,0.405,0.8565,-0.4515,No
Mamba,2023_AI_Wave,30,5,0.8392,0.8565,-0.0173,No
SNN,2023_AI_Wave,30,5,-1.7926,0.8565,-2.6491,No
Bi-RNN,2023_AI_Wave,30,5,0.8426,0.8565,-0.0138,No
Bi-GRU,2023_AI_Wave,30,5,0.8572,0.8565,0.0007,Yes
Bi-LSTM,2023_AI_Wave,30,5,0.8502,0.8565,-0.0063,No
PatchTST,2023_AI_Wave,30,5,0.7551,0.8565,-0.1014,No
Mamba,2023_AI_Wave,30,5,0.8593,0.8565,0.0028,Yes
SNN,2023_AI_Wave,30,5,0.7514,0.8565,-0.1051,No
Bi-RNN,2023_AI_Wave,30,10,0.5332,0.7113,-0.1781,No
Bi-GRU,2023_AI_Wave,30,10,0.6491,0.7113,-0.0622,No
Bi-LSTM,2023_AI_Wave,30,10,-0.0919,0.7113,-0.8032,No
PatchTST,2023_AI_Wave,30,10,0.2113,0.7113,-0.5,No
Mamba,2023_AI_Wave,30,10,0.6374,0.7113,-0.0739,No
SNN,2023_AI_Wave,30,10,-2.1582,0.7113,-2.8695,No
Bi-RNN,2023_AI_Wave,30,10,0.6933,0.7113,-0.018,No
Bi-GRU,2023_AI_Wave,30,10,0.6582,0.7113,-0.0531,No
Bi-LSTM,2023_AI_Wave,30,10,0.7005,0.7113,-0.0108,No
PatchTST,2023_AI_Wave,30,10,0.5786,0.7113,-0.1327,No
Mamba,2023_AI_Wave,30,10,0.7075,0.7113,-0.0038,No
SNN,2023_AI_Wave,30,10,0.4394,0.7113,-0.2719,No
Bi-RNN,2023_AI_Wave,60,1,0.8777,0.9704,-0.0926,No
Bi-GRU,2023_AI_Wave,60,1,0.9477,0.9704,-0.0227,No
Bi-LSTM,2023_AI_Wave,60,1,0.6506,0.9704,-0.3197,No
PatchTST,2023_AI_Wave,60,1,-0.6092,0.9704,-1.5796,No
Mamba,2023_AI_Wave,60,1,0.9522,0.9704,-0.0182,No
SNN,2023_AI_Wave,60,1,-3.1843,0.9704,-4.1547,No
Bi-RNN,2023_AI_Wave,60,1,0.9642,0.9704,-0.0062,No
Bi-GRU,2023_AI_Wave,60,1,0.9659,0.9704,-0.0044,No
Bi-LSTM,2023_AI_Wave,60,1,0.967,0.9704,-0.0034,No
PatchTST,2023_AI_Wave,60,1,0.8915,0.9704,-0.0789,No
Mamba,2023_AI_Wave,60,1,0.9673,0.9704,-0.0031,No
SNN,2023_AI_Wave,60,1,0.5973,0.9704,-0.3731,No
Bi-RNN,2023_AI_Wave,60,5,0.8414,0.8549,-0.0136,No
Bi-GRU,2023_AI_Wave,60,5,0.816,0.8549,-0.0389,No
Bi-LSTM,2023_AI_Wave,60,5,0.2058,0.8549,-0.6491,No
PatchTST,2023_AI_Wave,60,5,0.6784,0.8549,-0.1765,No
Mamba,2023_AI_Wave,60,5,0.8501,0.8549,-0.0048,No
SNN,2023_AI_Wave,60,5,-2.2881,0.8549,-3.143,No
Bi-RNN,2023_AI_Wave,60,5,0.8454,0.8549,-0.0095,No
Bi-GRU,2023_AI_Wave,60,5,0.8457,0.8549,-0.0092,No
Bi-LSTM,2023_AI_Wave,60,5,0.858,0.8549,0.0031,Yes
PatchTST,2023_AI_Wave,60,5,0.7882,0.8549,-0.0667,No
Mamba,2023_AI_Wave,60,5,0.8364,0.8549,-0.0185,No
SNN,2023_AI_Wave,60,5,0.4056,0.8549,-0.4494,No
Bi-RNN,2023_AI_Wave,60,10,0.6191,0.7147,-0.0955,No
Bi-GRU,2023_AI_Wave,60,10,0.7091,0.7147,-0.0056,No
Bi-LSTM,2023_AI_Wave,60,10,-0.7381,0.7147,-1.4528,No
PatchTST,2023_AI_Wave,60,10,0.6054,0.7147,-0.1093,No
Mamba,2023_AI_Wave,60,10,0.582,0.7147,-0.1327,No
SNN,2023_AI_Wave,60,10,-1.7138,0.7147,-2.4285,No
Bi-RNN,2023_AI_Wave,60,10,0.6772,0.7147,-0.0375,No
Bi-GRU,2023_AI_Wave,60,10,0.703,0.7147,-0.0117,No
Bi-LSTM,2023_AI_Wave,60,10,0.6794,0.7147,-0.0352,No
PatchTST,2023_AI_Wave,60,10,0.6301,0.7147,-0.0846,No
Mamba,2023_AI_Wave,60,10,0.7396,0.7147,0.0249,Yes
SNN,2023_AI_Wave,60,10,0.3109,0.7147,-0.4037,No
Bi-RNN,2023_AI_Wave,90,1,0.7342,0.9708,-0.2366,No
Bi-GRU,2023_AI_Wave,90,1,0.9539,0.9708,-0.0168,No
Bi-LSTM,2023_AI_Wave,90,1,0.9104,0.9708,-0.0603,No
PatchTST,2023_AI_Wave,90,1,0.6536,0.9708,-0.3171,No
Mamba,2023_AI_Wave,90,1,0.9688,0.9708,-0.002,No
SNN,2023_AI_Wave,90,1,-5.3697,0.9708,-6.3405,No
Bi-RNN,2023_AI_Wave,90,1,0.9657,0.9708,-0.0051,No
Bi-GRU,2023_AI_Wave,90,1,0.9666,0.9708,-0.0041,No
Bi-LSTM,2023_AI_Wave,90,1,0.9656,0.9708,-0.0052,No
PatchTST,2023_AI_Wave,90,1,0.7141,0.9708,-0.2567,No
Mamba,2023_AI_Wave,90,1,0.9674,0.9708,-0.0033,No
SNN,2023_AI_Wave,90,1,0.3356,0.9708,-0.6352,No
Bi-RNN,2023_AI_Wave,90,5,0.8001,0.8574,-0.0573,No
Bi-GRU,2023_AI_Wave,90,5,0.8371,0.8574,-0.0203,No
Bi-LSTM,2023_AI_Wave,90,5,0.33,0.8574,-0.5274,No
PatchTST,2023_AI_Wave,90,5,-0.4247,0.8574,-1.2821,No
Mamba,2023_AI_Wave,90,5,0.8259,0.8574,-0.0315,No
SNN,2023_AI_Wave,90,5,-0.9147,0.8574,-1.7721,No
Bi-RNN,2023_AI_Wave,90,5,0.8476,0.8574,-0.0098,No
Bi-GRU,2023_AI_Wave,90,5,0.8521,0.8574,-0.0053,No
Bi-LSTM,2023_AI_Wave,90,5,0.8372,0.8574,-0.0202,No
PatchTST,2023_AI_Wave,90,5,0.7353,0.8574,-0.1221,No
Mamba,2023_AI_Wave,90,5,0.8426,0.8574,-0.0148,No
SNN,2023_AI_Wave,90,5,0.2089,0.8574,-0.6485,No
Bi-RNN,2023_AI_Wave,90,10,0.693,0.7176,-0.0246,No
Bi-GRU,2023_AI_Wave,90,10,0.6517,0.7176,-0.0659,No
Bi-LSTM,2023_AI_Wave,90,10,-0.7657,0.7176,-1.4833,No
PatchTST,2023_AI_Wave,90,10,0.4801,0.7176,-0.2375,No
Mamba,2023_AI_Wave,90,10,0.6689,0.7176,-0.0487,No
SNN,2023_AI_Wave,90,10,-0.888,0.7176,-1.6056,No
Bi-RNN,2023_AI_Wave,90,10,0.674,0.7176,-0.0436,No
Bi-GRU,2023_AI_Wave,90,10,0.6867,0.7176,-0.0309,No
Bi-LSTM,2023_AI_Wave,90,10,0.7291,0.7176,0.0115,Yes
PatchTST,2023_AI_Wave,90,10,0.4773,0.7176,-0.2402,No
Mamba,2023_AI_Wave,90,10,0.7226,0.7176,0.005,Yes
SNN,2023_AI_Wave,90,10,-0.0406,0.7176,-0.7582,No
Bi-RNN,2023_AI_Wave,120,1,0.9278,0.9709,-0.0431,No
Bi-GRU,2023_AI_Wave,120,1,0.9437,0.9709,-0.0272,No
Bi-LSTM,2023_AI_Wave,120,1,0.9537,0.9709,-0.0172,No
PatchTST,2023_AI_Wave,120,1,0.766,0.9709,-0.2049,No
Mamba,2023_AI_Wave,120,1,0.9585,0.9709,-0.0124,No
SNN,2023_AI_Wave,120,1,-0.2717,0.9709,-1.2426,No
Bi-RNN,2023_AI_Wave,120,1,0.9656,0.9709,-0.0053,No
Bi-GRU,2023_AI_Wave,120,1,0.9667,0.9709,-0.0041,No
Bi-LSTM,2023_AI_Wave,120,1,0.967,0.9709,-0.0039,No
PatchTST,2023_AI_Wave,120,1,0.8585,0.9709,-0.1124,No
Mamba,2023_AI_Wave,120,1,0.9678,0.9709,-0.0031,No
SNN,2023_AI_Wave,120,1,-0.0596,0.9709,-1.0305,No
Bi-RNN,2023_AI_Wave,120,5,0.7815,0.8609,-0.0793,No
Bi-GRU,2023_AI_Wave,120,5,0.8337,0.8609,-0.0271,No
Bi-LSTM,2023_AI_Wave,120,5,0.6908,0.8609,-0.1701,No
PatchTST,2023_AI_Wave,120,5,0.3791,0.8609,-0.4818,No
Mamba,2023_AI_Wave,120,5,0.8364,0.8609,-0.0245,No
SNN,2023_AI_Wave,120,5,-0.572,0.8609,-1.4328,No
Bi-RNN,2023_AI_Wave,120,5,0.8459,0.8609,-0.015,No
Bi-GRU,2023_AI_Wave,120,5,0.8562,0.8609,-0.0047,No
Bi-LSTM,2023_AI_Wave,120,5,0.8552,0.8609,-0.0057,No
PatchTST,2023_AI_Wave,120,5,0.6502,0.8609,-0.2106,No
Mamba,2023_AI_Wave,120,5,0.8591,0.8609,-0.0018,No
SNN,2023_AI_Wave,120,5,-0.1027,0.8609,-0.9635,No
Bi-RNN,2023_AI_Wave,120,10,0.393,0.7208,-0.3278,No
Bi-GRU,2023_AI_Wave,120,10,0.7111,0.7208,-0.0097,No
Bi-LSTM,2023_AI_Wave,120,10,0.1689,0.7208,-0.5519,No
PatchTST,2023_AI_Wave,120,10,0.5571,0.7208,-0.1637,No
Mamba,2023_AI_Wave,120,10,0.7086,0.7208,-0.0121,No
SNN,2023_AI_Wave,120,10,0.1381,0.7208,-0.5827,No
Bi-RNN,2023_AI_Wave,120,10,0.753,0.7208,0.0322,Yes
Bi-GRU,2023_AI_Wave,120,10,0.7288,0.7208,0.008,Yes
Bi-LSTM,2023_AI_Wave,120,10,0.7217,0.7208,0.0009,Yes
PatchTST,2023_AI_Wave,120,10,0.1376,0.7208,-0.5832,No
Mamba,2023_AI_Wave,120,10,0.7627,0.7208,0.0419,Yes
SNN,2023_AI_Wave,120,10,-0.0856,0.7208,-0.8063,No
Bi-RNN,2023_AI_Wave,252,1,0.9303,0.9716,-0.0412,No
Bi-GRU,2023_AI_Wave,252,1,0.9501,0.9716,-0.0215,No
Bi-LSTM,2023_AI_Wave,252,1,0.9039,0.9716,-0.0677,No
PatchTST,2023_AI_Wave,252,1,0.2837,0.9716,-0.6878,No
Mamba,2023_AI_Wave,252,1,0.9707,0.9716,-0.0009,No
SNN,2023_AI_Wave,252,1,0.4283,0.9716,-0.5432,No
Bi-RNN,2023_AI_Wave,252,1,0.967,0.9716,-0.0046,No
Bi-GRU,2023_AI_Wave,252,1,0.9663,0.9716,-0.0052,No
Bi-LSTM,2023_AI_Wave,252,1,0.9661,0.9716,-0.0054,No
PatchTST,2023_AI_Wave,252,1,0.5989,0.9716,-0.3727,No
Mamba,2023_AI_Wave,252,1,0.9681,0.9716,-0.0035,No
SNN,2023_AI_Wave,252,1,-0.2544,0.9716,-1.226,No
Bi-RNN,2023_AI_Wave,252,5,0.7198,0.8631,-0.1433,No
Bi-GRU,2023_AI_Wave,252,5,0.8425,0.8631,-0.0206,No
Bi-LSTM,2023_AI_Wave,252,5,0.7996,0.8631,-0.0635,No
PatchTST,2023_AI_Wave,252,5,-1.1339,0.8631,-1.9969,No
Mamba,2023_AI_Wave,252,5,0.8119,0.8631,-0.0512,No
SNN,2023_AI_Wave,252,5,-0.0941,0.8631,-0.9572,No
Bi-RNN,2023_AI_Wave,252,5,0.8547,0.8631,-0.0084,No
Bi-GRU,2023_AI_Wave,252,5,0.8559,0.8631,-0.0072,No
Bi-LSTM,2023_AI_Wave,252,5,0.8567,0.8631,-0.0063,No
PatchTST,2023_AI_Wave,252,5,-1.8776,0.8631,-2.7407,No
Mamba,2023_AI_Wave,252,5,0.8584,0.8631,-0.0047,No
SNN,2023_AI_Wave,252,5,-0.3247,0.8631,-1.1878,No
Bi-RNN,2023_AI_Wave,252,10,0.5234,0.7274,-0.2041,No
Bi-GRU,2023_AI_Wave,252,10,0.6103,0.7274,-0.1171,No
Bi-LSTM,2023_AI_Wave,252,10,0.0859,0.7274,-0.6415,No
PatchTST,2023_AI_Wave,252,10,-0.1026,0.7274,-0.8301,No
Mamba,2023_AI_Wave,252,10,0.6798,0.7274,-0.0476,No
SNN,2023_AI_Wave,252,10,-3.3504,0.7274,-4.0778,No
Bi-RNN,2023_AI_Wave,252,10,0.7472,0.7274,0.0198,Yes
Bi-GRU,2023_AI_Wave,252,10,0.7583,0.7274,0.0308,Yes
Bi-LSTM,2023_AI_Wave,252,10,0.7141,0.7274,-0.0134,No
PatchTST,2023_AI_Wave,252,10,0.0749,0.7274,-0.6525,No
Mamba,2023_AI_Wave,252,10,0.7576,0.7274,0.0302,Yes
SNN,2023_AI_Wave,252,10,-0.353,0.7274,-1.0805,No
