Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,30,10,PatchTST,2022_Rate_Hike,0.05428776144981384,-0.6316791772842407,0.06385947422965385,242
SP500,30,10,Mamba,2022_Rate_Hike,0.03386402130126953,0.35557639598846436,0.040132265818486876,242
SP500,30,10,SNN,2022_Rate_Hike,0.03141062334179878,0.4079965353012085,0.03846538406735217,242
SP500,30,10,Ensemble,2022_Rate_Hike,0.03463682904839516,0.30367761850357056,0.041717006063354295,242
SP500,60,1,ARIMA,2022_Rate_Hike,0.009518449348247332,0.948997127477839,0.01214963676717609,251
SP500,60,1,Bi-RNN,2022_Rate_Hike,0.017146330326795578,0.8416114449501038,0.02141055380365654,251
SP500,60,1,Bi-GRU,2022_Rate_Hike,0.015378102660179138,0.8714455366134644,0.019288991733634044,251
SP500,60,1,Bi-LSTM,2022_Rate_Hike,0.021707715466618538,0.7555661797523499,0.026597855158350753,251
SP500,60,1,PatchTST,2022_Rate_Hike,0.05501438304781914,-0.41432929039001465,0.06397956212891572,251
SP500,60,1,Mamba,2022_Rate_Hike,0.016471395269036293,0.859526515007019,0.020163374028134128,251
SP500,60,1,SNN,2022_Rate_Hike,0.03247254341840744,0.4775354266166687,0.038886102609720335,251
SP500,60,1,Ensemble,2022_Rate_Hike,0.01613268442451954,0.8606630563735962,0.020081638174239212,251
SP500,60,5,ARIMA,2022_Rate_Hike,0.020228534993646043,0.783906303784745,0.02500846436800152,251
SP500,60,5,Bi-RNN,2022_Rate_Hike,0.020001839846372604,0.777355968952179,0.0245358469457722,247
SP500,60,5,Bi-GRU,2022_Rate_Hike,0.023733189329504967,0.687924325466156,0.02904861885861829,247
SP500,60,5,Bi-LSTM,2022_Rate_Hike,0.0338604561984539,0.37207454442977905,0.041204967733060725,247
SP500,60,5,PatchTST,2022_Rate_Hike,0.07126867771148682,-1.3269190788269043,0.07932063366920647,247
SP500,60,5,Mamba,2022_Rate_Hike,0.01994931697845459,0.7686498165130615,0.02501096596717704,247
SP500,60,5,SNN,2022_Rate_Hike,0.03215470537543297,0.44058096408843994,0.03889234557700318,247
SP500,60,5,Ensemble,2022_Rate_Hike,0.02202967181801796,0.7313886880874634,0.026949930952005586,247
SP500,60,10,ARIMA,2022_Rate_Hike,0.028163530832972742,0.5934049514641919,0.03430417811817348,251
